,Nspec,Nbins,WvlStart,WvlEnd,SplineKnots,SN,dm15,TypeStr,TypeInt,SubTypeInt,WFF subtype int,WFF subtype str,WFF broadtype int,WFF broadtype str
326,12,1024,2500.0,10000.0,8,sn1984L,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
327,22,1024,2500.0,10000.0,12,sn2006jc,-9.99,Ibn,2,2,7,Ibn,1,Ib
328,42,1024,2500.0,10000.0,11,sn2003cg,1.26,Ia-norm,1,2,0,Ia-norm,0,Ia
329,1,1024,2500.0,10000.0,11,sn06gt,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
330,3,1024,2500.0,10000.0,10,sn04ey,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
331,1,1024,2500.0,10000.0,8,sn2006mo,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
332,1,1024,2500.0,10000.0,11,sn06bz,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
333,1,1024,2500.0,10000.0,10,sn94ae,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
334,1,1024,2500.0,10000.0,7,sn1996ab,1.01,Ia-norm,1,2,0,Ia-norm,0,Ia
335,1,1024,2500.0,10000.0,11,sn07fr,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
336,11,1024,2500.0,10000.0,8,sn2007bm,1.09,Ia-norm,1,2,0,Ia-norm,0,Ia
337,1,1024,2500.0,10000.0,10,snls03D3bb,-9.99,Ia-pec,1,6,5,Ia-pec,0,Ia
338,20,1024,2500.0,10000.0,11,sn2008D,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
339,27,1024,2500.0,10000.0,8,sn1998aq,1.11,Ia-norm,1,2,0,Ia-norm,0,Ia
340,5,1024,2500.0,10000.0,8,sn2002hw,1.44,Ia-norm,1,2,0,Ia-norm,0,Ia
341,8,1024,2500.0,10000.0,10,sn2009er,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
342,6,1024,2500.0,10000.0,8,sn1998ec,1.08,Ia-norm,1,2,0,Ia-norm,0,Ia
343,6,1024,2500.0,10000.0,8,sn2005kc,1.24,Ia-norm,1,2,0,Ia-norm,0,Ia
344,11,1024,2500.0,10000.0,8,sn1999gi,-9.99,IIP,4,2,13,IIP,3,II
345,5,1024,2500.0,10000.0,8,sn2005la,-9.99,Ib-pec,2,3,9,Ib-pec,1,Ib
346,2,1024,2500.0,10000.0,8,sn2002G,1.25,Ia-norm,1,2,0,Ia-norm,0,Ia
347,8,1024,2500.0,10000.0,9,sn2007bc,1.37,Ia-norm,1,2,0,Ia-norm,0,Ia
348,4,1024,2500.0,10000.0,10,sn2004gv,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
349,8,1024,2500.0,10000.0,7,sn2003ic,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
350,6,1024,2500.0,10000.0,10,sn1991M,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
351,6,1024,2500.0,10000.0,8,sn2007bd,1.3,Ia-norm,1,2,0,Ia-norm,0,Ia
352,24,1024,2500.0,10000.0,10,sn2004gq,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
353,3,1024,2500.0,10000.0,8,sn1983N,-9.99,Ib-norm,2,2,6,Ib-norm,1,Ib
354,6,1024,2500.0,10000.0,8,sn2005eu,0.89,Ia-norm,1,2,0,Ia-norm,0,Ia
355,6,1024,2500.0,10000.0,10,sn07fs,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
356,19,1024,2500.0,10000.0,10,sn94I,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
357,39,1024,2500.0,10000.0,11,sn2004dt,1.14,Ia-norm,1,2,0,Ia-norm,0,Ia
358,2,1024,2500.0,10000.0,10,sn02fb,-9.99,Ia-91bg,1,4,2,Ia-91bg,0,Ia
359,2,1024,2500.0,10000.0,11,sn02eu,-9.99,Ia-norm,1,2,0,Ia-norm,0,Ia
360,14,1024,2500.0,10000.0,11,sn2011bm,-9.99,Ic-norm,3,2,10,Ic-norm,2,Ic
361,3,1024,2500.0,10000.0,8,sn2001E,0.92,Ia-norm,1,2,0,Ia-norm,0,Ia
